Accuracy, Ncore, Bmodel, Blife, Weight, WS
54.275, 1, 1, 9.56422978062048, 90, 0.25
54.275, 1, 2, 19.128459561241, 150, 0.25
54.275, 1, 3, 23.9105744515512, 198, 0.25
54.275, 1, 4, 28.6926893418614, 236, 0.25
54.275, 2, 1, 9.6694615439471, 105, 0.25
54.275, 2, 2, 19.3389230878942, 165, 0.25
54.275, 2, 3, 24.1736538598678, 213, 0.25
54.275, 2, 4, 29.0083846318413, 251, 0.25
54.275, 2, 1, 5.81947691631738, 105, 0.5
54.275, 2, 2, 11.6389538326348, 165, 0.5
54.275, 2, 3, 14.5486922907934, 213, 0.5
54.275, 2, 4, 17.4584307489521, 251, 0.5
54.275, 2, 1, 4.16224211658336, 105, 0.75
54.275, 2, 2, 8.32448423316672, 165, 0.75
54.275, 2, 3, 10.4056052914584, 213, 0.75
54.275, 2, 4, 12.4867263497501, 251, 0.75
54.275, 4, 1, 8.46911709983554, 120, 0.25
54.275, 4, 2, 16.9382341996711, 180, 0.25
54.275, 4, 3, 21.1727927495889, 228, 0.25
54.275, 4, 4, 25.4073512995066, 266, 0.25
54.275, 4, 1, 5.67691136283482, 120, 0.5
54.275, 4, 2, 11.3538227256696, 180, 0.5
54.275, 4, 3, 14.1922784070871, 228, 0.5
54.275, 4, 4, 17.0307340885045, 266, 0.5
54.275, 4, 1, 4.2693409818577, 120, 0.75
54.275, 4, 2, 8.53868196371541, 180, 0.75
54.275, 4, 3, 10.6733524546443, 228, 0.75
54.275, 4, 4, 12.8080229455731, 266, 0.75
54.275, 4, 1, 3.42109291944951, 120, 1.0
54.275, 4, 2, 6.84218583889902, 180, 1.0
54.275, 4, 3, 8.55273229862378, 228, 1.0
54.275, 4, 4, 10.2632787583485, 266, 1.0
54.275, 4, 2, 5.70808327023226, 180, 1.25
54.275, 4, 3, 7.13510408779032, 228, 1.25
54.275, 4, 4, 8.56212490534838, 266, 1.25
54.275, 4, 2, 4.89648374321493, 180, 1.5
54.275, 4, 3, 6.12060467901866, 228, 1.5
54.275, 4, 4, 7.34472561482239, 266, 1.5
54.275, 8, 1, 6.76893397751022, 140, 0.25
54.275, 8, 2, 13.5378679550204, 200, 0.25
54.275, 8, 3, 16.9223349437755, 248, 0.25
54.275, 8, 4, 20.3068019325306, 286, 0.25
54.275, 8, 1, 5.11593999002392, 140, 0.5
54.275, 8, 2, 10.2318799800478, 200, 0.5
